hppy,inc_pm_n,age,age2,fem,lefths,bach,grad,mrd,dvrcd,widowed,black,other_r,unempl,nonlf,_Iyear_2002,_Iyear_2004,_Iyear_2006,_Iyear_2008,_Iyear_2010,_Iyear_2012,_Iyear_2014,_Iyear_2016,_Iyear_2018,wt_correction,year,group
2,-.81874847,48,2304,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.54930001,2000,21
2,-.14791042,67,4489,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.54930001,2000,61
3,.65237767,39,1521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.54930001,2000,109
2,.48570618,25,625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.54930001,2000,69
3,.20219836,36,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.54930001,2000,73
2,-.033464365,44,1936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.54930001,2000,45
2,1.4359001,44,1936,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6478,2000,106
3,.88016272,47,2209,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,115
3,1.0654733,53,2809,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,118
2,1.5673803,52,2704,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,114
2,.33370304,52,2704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,81
3,1.0654733,51,2601,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,115
2,1.0229875,52,2704,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.54930001,2000,119
2,.016913064,40,1600,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,41
3,-.43143129,77,5929,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.54930001,2000,57
2,-.11459163,44,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,41
2,-.93353099,40,1600,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,12
3,-.66738778,45,2025,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6478,2000,13
2,1.5673803,48,2304,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,115
3,1.5673803,49,2401,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,119
2,-.016394392,54,2916,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6478,2000,51
2,-2.1935689,89,7921,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.54930001,2000,25
2,-.43143129,72,5184,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.54930001,2000,61
3,.48570618,89,7921,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.54930001,2000,93
2,.33558771,55,3025,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0985,2000,85
2,.70431465,37,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0985,2000,105
